template_name,top_text,bottom_text
Drake Hotline Bling,Reading the docs,Guessing and hoping it works
Distracted Boyfriend,Me,That new framework that just came out
Gru's Plan,Ship the feature on Friday,Tests fail at 4:59pm
Woman Yelling At Cat,Me explaining why I need another monitor,My bank account
Expanding Brain,Using print statements,Using an actual debugger
Two Buttons,Fix the bug,Add a shiny new feature instead
Batman Slapping Robin,Robin: let's refactor everything today,Batman: absolutely not
Surprised Pikachu,Skips writing tests,Code breaks in production
This Is Fine,Everything is on fire,This is fine
Change My Mind,Tabs are better than spaces,Change my mind
One Does Not Simply,One does not simply,deploy on a Friday afternoon
Mocking Spongebob,mOcKiNg,tHe LiNtEr WaRnInGs
Hide the Pain Harold,When they ask if the PR is ready,It's basically ready
Left Exit 12 Off Ramp,The one for-loop hack that somehow works,The clean readable solution
Ancient Aliens,Bug only happens in production,Must be aliens
Waiting Skeleton,Waiting for the build to finish,Still waiting
Among Us,Wait that reviewer looks sus,Emergency meeting called
Stonks,Bought the dip anyway,Stonks
Confused Math Lady,Trying to read someone else's code,Pure chaos in my head
